order_id,customer_id,order_date,total_amount,order_status
1,101,2024-01-01,264.98,Completed
2,102,2024-01-02,157.06,Pending
3,103,2024-01-03,431.74,Completed
4,104,2024-01-04,441.7,Completed
5,105,2024-01-05,276.65,Completed
6,106,2024-01-06,251.54,Pending
7,107,2024-01-07,-43.37,Cancelled
8,108,2024-01-08,5.03,Completed
9,109,2024-01-09,490.26,Completed
10,110,2024-01-10,293.14,Completed
11,111,2024-01-11,-26.53,Cancelled
12,112,2024-01-12,264.73,Pending
13,113,2024-01-13,275.66,Completed
14,114,2024-01-14,102.26,Completed
15,115,2024-01-15,75.05,Completed
16,116,2024-01-16,360.64,Completed
17,117,2024-01-17,443.84,Completed
18,118,2024-01-18,125.22,Completed
19,119,2024-01-19,374.67,Completed
20,120,2024-01-20,163.79,Completed
21,121,2024-01-21,-40.1,Cancelled
22,122,2024-01-22,199.77,Pending
23,123,2024-01-23,313.55,Completed
24,124,2024-01-24,31.29,Completed
25,125,2024-01-25,188.67,Pending
26,126,2024-01-26,115.8,Completed
27,127,2024-01-27,405.63,Completed
28,128,2024-01-28,422.64,Completed
29,129,2024-01-29,499.46,Completed
30,130,2024-01-30,95.89,Completed
31,131,2024-01-31,228.34,Completed
32,132,2024-02-01,50.37,Completed
33,133,2024-02-02,322.12,Completed
34,134,2024-02-03,357.35,Pending
35,135,2024-02-04,52.5,Completed
36,136,2024-02-05,142.95,Completed
37,137,2024-02-06,98.35,Completed
38,138,2024-02-07,455.06,Completed
39,139,2024-02-08,427.25,Pending
40,140,2024-02-09,25.03,Completed
41,141,2024-02-10,177.8,Pending
42,142,2024-02-11,411.82,Completed
43,143,2024-02-12,197.46,Completed
44,144,2024-02-13,219.07,Completed
45,145,2024-02-14,152.2,Completed
46,146,2024-02-15,452.79,Pending
47,147,2024-02-16,374.09,Pending
48,148,2024-02-17,-11.46,Cancelled
49,149,2024-02-18,-31.83,Cancelled
50,150,2024-02-19,138.48,Completed
51,151,2024-02-20,-11.24,Cancelled
52,152,2024-02-21,121.96,Completed
53,153,2024-02-22,-0.5,Cancelled
54,154,2024-02-23,11.56,Pending
55,155,2024-02-24,275.67,Completed
56,156,2024-02-25,442.03,Completed
57,157,2024-02-26,-0.4,Cancelled
58,158,2024-02-27,-2.53,Cancelled
59,159,2024-02-28,311.47,Completed
60,160,2024-02-29,59.14,Pending
61,161,2024-03-01,263.6,Completed
62,162,2024-03-02,482.56,Completed
63,163,2024-03-03,368.56,Pending
64,164,2024-03-04,398.78,Completed
65,165,2024-03-05,302.89,Completed
66,166,2024-03-06,105.08,Completed
67,167,2024-03-07,349.8,Completed
68,168,2024-03-08,203.84,Completed
69,169,2024-03-09,349.19,Pending
70,170,2024-03-10,-15.03,Cancelled
71,171,2024-03-11,195.91,Completed
72,172,2024-03-12,286.79,Completed
73,173,2024-03-13,394.75,Completed
74,174,2024-03-14,23.65,Pending
75,175,2024-03-15,33.41,Completed
76,176,2024-03-16,166.46,Completed
77,177,2024-03-17,364.64,Completed
78,178,2024-03-18,485.29,Completed
79,179,2024-03-19,14.18,Completed
80,180,2024-03-20,-12.32,Cancelled
81,181,2024-03-21,459.54,Pending
82,182,2024-03-22,471.47,Completed
83,183,2024-03-23,468.28,Pending
84,184,2024-03-24,237.44,Completed
85,185,2024-03-25,80.45,Completed
86,186,2024-03-26,178.56,Completed
87,187,2024-03-27,111.45,Pending
88,188,2024-03-28,-46.02,Cancelled
89,189,2024-03-29,-21.11,Cancelled
90,190,2024-03-30,225.6,Pending
91,191,2024-03-31,275.4,Pending
92,192,2024-04-01,451.96,Completed
93,193,2024-04-02,84.63,Completed
94,194,2024-04-03,28.81,Completed
95,195,2024-04-04,472.62,Pending
96,196,2024-04-05,485.62,Completed
97,197,2024-04-06,107.98,Pending
98,198,2024-04-07,200.52,Completed
99,199,2024-04-08,378.35,Completed
100,200,2024-04-09,339.88,Completed
101,201,2024-04-10,255.16,Pending
102,202,2024-04-11,307.33,Completed
103,203,2024-04-12,200.26,Completed
104,204,2024-04-13,233.68,Completed
105,205,2024-04-14,283.0,Completed
106,206,2024-04-15,13.55,Completed
107,207,2024-04-16,-49.2,Cancelled
108,208,2024-04-17,161.66,Completed
109,209,2024-04-18,36.41,Pending
110,210,2024-04-19,78.09,Completed
111,211,2024-04-20,41.3,Completed
112,212,2024-04-21,159.17,Completed
113,213,2024-04-22,496.75,Completed
114,214,2024-04-23,342.21,Completed
115,215,2024-04-24,-11.98,Cancelled
116,216,2024-04-25,11.3,Completed
117,217,2024-04-26,-11.33,Cancelled
118,218,2024-04-27,294.08,Pending
119,219,2024-04-28,256.18,Pending
120,220,2024-04-29,261.48,Completed
121,221,2024-04-30,80.6,Completed
122,222,2024-05-01,337.45,Pending
123,223,2024-05-02,208.5,Completed
124,224,2024-05-03,162.42,Completed
125,225,2024-05-04,466.6,Completed
126,226,2024-05-05,335.01,Pending
127,227,2024-05-06,241.55,Pending
128,228,2024-05-07,297.1,Completed
129,229,2024-05-08,284.44,Pending
130,230,2024-05-09,99.97,Completed
131,231,2024-05-10,105.61,Completed
132,232,2024-05-11,101.51,Completed
133,233,2024-05-12,66.49,Completed
134,234,2024-05-13,77.25,Pending
135,235,2024-05-14,46.1,Completed
136,236,2024-05-15,57.28,Completed
137,237,2024-05-16,90.66,Completed
138,238,2024-05-17,20.69,Completed
139,239,2024-05-18,187.38,Pending
140,240,2024-05-19,457.97,Completed
141,241,2024-05-20,367.37,Completed
142,242,2024-05-21,-12.17,Cancelled
143,243,2024-05-22,442.64,Pending
144,244,2024-05-23,459.87,Completed
145,245,2024-05-24,440.43,Completed
146,246,2024-05-25,121.03,Pending
147,247,2024-05-26,117.94,Completed
148,248,2024-05-27,155.64,Completed
149,249,2024-05-28,196.39,Completed
150,250,2024-05-29,326.06,Completed
151,251,2024-05-30,372.01,Completed
152,252,2024-05-31,421.83,Pending
153,253,2024-06-01,106.11,Completed
154,254,2024-06-02,299.76,Completed
155,255,2024-06-03,291.51,Completed
156,256,2024-06-04,339.39,Completed
157,257,2024-06-05,-44.69,Cancelled
158,258,2024-06-06,275.12,Pending
159,259,2024-06-07,228.63,Completed
160,260,2024-06-08,369.75,Completed
161,261,2024-06-09,324.9,Pending
162,262,2024-06-10,473.25,Completed
163,263,2024-06-11,274.48,Completed
164,264,2024-06-12,-43.16,Cancelled
165,265,2024-06-13,124.76,Pending
166,266,2024-06-14,79.41,Completed
167,267,2024-06-15,243.04,Completed
168,268,2024-06-16,61.32,Completed
169,269,2024-06-17,176.84,Completed
170,270,2024-06-18,351.99,Completed
171,271,2024-06-19,386.55,Completed
172,272,2024-06-20,451.6,Completed
173,273,2024-06-21,466.17,Completed
174,274,2024-06-22,-6.75,Cancelled
175,275,2024-06-23,288.28,Pending
176,276,2024-06-24,343.76,Completed
177,277,2024-06-25,226.96,Pending
178,278,2024-06-26,495.67,Completed
179,279,2024-06-27,216.58,Pending
180,280,2024-06-28,322.13,Completed
181,281,2024-06-29,475.54,Completed
182,282,2024-06-30,45.51,Completed
183,283,2024-07-01,263.96,Completed
184,284,2024-07-02,229.59,Completed
185,285,2024-07-03,426.08,Completed
186,286,2024-07-04,360.84,Pending
187,287,2024-07-05,190.23,Completed
188,288,2024-07-06,385.02,Completed
189,289,2024-07-07,415.52,Completed
190,290,2024-07-08,378.24,Completed
191,291,2024-07-09,-33.16,Cancelled
192,292,2024-07-10,203.73,Completed
193,293,2024-07-11,481.69,Pending
194,294,2024-07-12,475.2,Pending
195,295,2024-07-13,353.66,Pending
196,296,2024-07-14,396.72,Pending
197,297,2024-07-15,186.91,Completed
198,298,2024-07-16,31.11,Completed
199,299,2024-07-17,325.09,Completed
200,300,2024-07-18,205.2,Completed
201,301,2024-07-19,268.23,Completed
202,302,2024-07-20,176.61,Pending
203,303,2024-07-21,154.73,Completed
204,304,2024-07-22,392.47,Completed
205,305,2024-07-23,122.72,Pending
206,306,2024-07-24,296.11,Completed
207,307,2024-07-25,326.52,Completed
208,308,2024-07-26,325.37,Completed
209,309,2024-07-27,148.89,Completed
210,310,2024-07-28,61.14,Completed
211,311,2024-07-29,31.87,Pending
212,312,2024-07-30,-13.33,Cancelled
213,313,2024-07-31,238.19,Pending
214,314,2024-08-01,389.18,Completed
215,315,2024-08-02,378.56,Completed
216,316,2024-08-03,-1.67,Cancelled
217,317,2024-08-04,372.46,Pending
218,318,2024-08-05,102.0,Completed
219,319,2024-08-06,117.33,Completed
220,320,2024-08-07,198.38,Completed
221,321,2024-08-08,251.2,Pending
222,322,2024-08-09,48.28,Pending
223,323,2024-08-10,-33.61,Cancelled
224,324,2024-08-11,372.61,Completed
225,325,2024-08-12,30.57,Completed
226,326,2024-08-13,34.57,Completed
227,327,2024-08-14,32.62,Pending
228,328,2024-08-15,232.17,Completed
229,329,2024-08-16,210.8,Completed
230,330,2024-08-17,347.64,Completed
231,331,2024-08-18,234.94,Pending
232,332,2024-08-19,136.93,Completed
233,333,2024-08-20,124.82,Completed
234,334,2024-08-21,431.78,Completed
235,335,2024-08-22,-5.38,Cancelled
236,336,2024-08-23,-7.18,Cancelled
237,337,2024-08-24,127.89,Completed
238,338,2024-08-25,242.65,Completed
239,339,2024-08-26,-17.87,Cancelled
240,340,2024-08-27,414.15,Completed
241,341,2024-08-28,247.91,Completed
242,342,2024-08-29,345.95,Completed
243,343,2024-08-30,437.46,Completed
244,344,2024-08-31,380.69,Pending
245,345,2024-09-01,71.92,Pending
246,346,2024-09-02,293.5,Completed
247,347,2024-09-03,32.88,Completed
248,348,2024-09-04,316.69,Completed
249,349,2024-09-05,451.55,Completed
250,350,2024-09-06,466.11,Completed
251,351,2024-09-07,475.71,Completed
252,352,2024-09-08,0.34,Pending
253,353,2024-09-09,104.71,Completed
254,354,2024-09-10,134.27,Completed
255,355,2024-09-11,455.22,Completed
256,356,2024-09-12,121.5,Completed
257,357,2024-09-13,389.22,Completed
258,358,2024-09-14,108.03,Completed
259,359,2024-09-15,247.25,Pending
260,360,2024-09-16,358.64,Pending
